"","x"
"599",1
"600",0
"601",0
"602",-1
"603",0
"604",0
"605",0
"606",-1
"607",-1
"608",1
"609",0
"610",2
"611",1
"612",-1
"613",0
"614",-1
"615",-1
"616",0
"617",0
"618",1
"619",-1
"620",-1
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",1
"629",1
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",1
"644",1
"645",0
"646",0
"647",1
"648",1
"649",1
"650",-1
"651",1
"652",-1
"653",-1
"654",-1
"655",0
"656",0
"657",0
"658",0
"659",0
"660",1
"661",-1
"662",0
"663",0
"664",0
"665",-1
"666",0
"667",0
"668",-1
"669",-2
"670",0
"671",0
"672",-1
"673",1
"674",1
"675",0
"676",0
"677",-1
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",2
"686",1
"687",0
"688",0
"689",0
"690",0
"691",-1
"692",0
"693",0
"694",0
"695",0
"696",0
"697",-2
"698",0
"699",1
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",1
"708",0
"709",-1
"710",0
"711",0
"712",1
"713",0
"714",0
"715",0
"716",0
"717",0
"718",-1
"719",-2
"720",0
"721",1
"722",1
"723",0
"724",0
"725",1
"726",1
"727",1
"728",2
"729",1
"730",2
"731",0
"732",1
"733",0
"734",-1
"735",0
"736",1
"737",-1
"738",0
"739",1
"740",0
"741",2
"742",2
"743",1
"744",1
"745",0
"746",1
"747",-1
"748",1
"749",0
"750",0
"751",0
"752",0
"753",1
"754",2
"755",-2
"756",0
"757",-1
"758",0
"759",0
"760",-1
"761",0
"762",1
"763",0
"764",0
"765",0
"766",1
"767",2
"768",0
"769",1
"770",1
"771",1
"772",0
"773",0
"774",-2
"775",0
"776",1
"777",-1
"778",0
"779",1
"780",1
"781",-1
"782",0
"783",-1
"784",-1
"785",0
"786",0
"787",-1
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",1
"804",1
"805",0
"806",0
"807",-1
"808",0
"809",0
"810",0
"811",2
"812",0
"813",0
"814",-1
"815",0
"816",-1
"817",0
"818",0
"819",0
"820",0
"821",-1
"822",-1
"823",-2
"824",0
"825",0
"826",0
"827",0
"828",-1
"829",1
"830",1
"831",1
"832",0
"833",1
"834",1
"835",0
"836",0
"837",0
"838",-1
"839",0
"840",0
"841",0
"842",0
"843",0
"844",1
"845",1
"846",1
"847",0
"848",-1
"849",0
"850",-1
"851",0
"852",2
"853",0
"854",-1
"855",0
"856",-1
"857",-1
"858",-1
"859",0
"860",-1
"861",-1
"862",-1
"863",0
"864",-1
"865",0
"866",1
"867",1
"868",0
"869",1
"870",0
"871",0
"872",-1
"873",-1
"874",2
"875",-1
"876",-1
"877",0
"878",1
"879",0
"880",0
"881",0
"882",1
"883",1
"884",1
"885",0
"886",1
"887",1
"888",0
"889",-1
"890",0
"891",0
"892",1
"893",0
"894",0
"895",0
"896",-1
"897",0
"898",0
"899",1
"900",0
"901",1
"902",1
"903",1
"904",1
"905",0
"906",-1
"907",0
"908",0
"909",0
"910",-1
"911",0
"912",1
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",1
"920",0
"921",0
"922",0
"923",0
"924",0
"925",0
"926",0
"927",0
"928",-1
"929",-1
"930",0
"931",-1
"932",-1
"933",-1
"934",-1
"935",1
"936",1
"937",0
"938",0
"939",1
"940",0
"941",0
"942",-1
"943",-1
"944",-1
"945",1
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",0
"953",0
"954",0
"955",0
"956",-1
"957",0
"958",0
"959",0
"960",0
"961",-1
"962",0
"963",1
"964",1
"965",0
"966",0
"967",0
"968",0
"969",0
"970",1
"971",1
"972",-1
"973",0
"974",1
"975",0
"976",0
"977",0
"978",1
"979",1
"980",0
"981",1
"982",0
"983",0
"984",0
"985",1
"986",0
"987",0
"988",0
"989",0
"990",1
"991",1
"992",1
"993",-1
"994",-1
"995",0
"996",0
"997",1
"998",0
"999",0
"1000",1
"1001",2
"1002",0
"1003",0
"1004",0
"1005",0
"1006",1
"1007",0
"1008",1
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",-1
"1016",-1
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",-1
"1026",-2
"1027",0
"1028",0
"1029",-1
"1030",-1
"1031",0
"1032",1
"1033",0
"1034",1
"1035",1
"1036",-2
"1037",-2
"1038",0
"1039",0
"1040",1
"1041",1
"1042",0
"1043",0
"1044",0
"1045",-1
"1046",1
"1047",1
"1048",0
"1049",0
"1050",1
"1051",0
"1052",1
"1053",0
"1054",-1
"1055",-1
"1056",0
"1057",1
"1058",1
"1059",0
"1060",-1
"1061",-1
"1062",0
"1063",-1
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0
"1071",0
"1072",-1
"1073",-1
"1074",0
"1075",0
"1076",0
"1077",1
"1078",0
"1079",-1
"1080",-1
"1081",1
"1082",0
"1083",0
"1084",0
"1085",1
"1086",0
"1087",-1
"1088",0
"1089",-1
"1090",0
"1091",0
"1092",-1
"1093",-1
"1094",0
"1095",-1
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",1
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",-1
"1108",-1
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",1
"1125",1
"1126",2
"1127",2
"1128",0
"1129",0
"1130",-1
"1131",-1
"1132",0
"1133",1
"1134",0
"1135",0
"1136",0
"1137",0
"1138",1
"1139",0
"1140",-1
"1141",-1
"1142",0
"1143",1
"1144",0
"1145",0
"1146",0
"1147",1
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",-1
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",-1
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",1
"1173",0
"1174",0
"1175",-1
"1176",0
"1177",0
"1178",0
"1179",-1
"1180",-2
"1181",-1
"1182",-5
"1183",3
"1184",-2
"1185",0
"1186",1
"1187",1
"1188",0
"1189",0
"1190",-1
"1191",-2
"1192",-2
"1193",0
"1194",1
"1195",0
"1196",-2
"1197",0
"1198",1
"1199",-1
"1200",-1
"1201",0
"1202",0
"1203",0
"1204",0
"1205",1
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",-1
"1212",-1
"1213",-1
"1214",0
"1215",1
"1216",0
"1217",-1
"1218",-1
