"","x"
"617",0
"618",-1
"619",-1
"620",1
"621",0
"622",0
"623",-1
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",-1
"632",-1
"633",-1
"634",0
"635",0
"636",-1
"637",1
"638",1
"639",-1
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",-1
"650",0
"651",-1
"652",0
"653",-1
"654",0
"655",-2
"656",-1
"657",0
"658",0
"659",1
"660",1
"661",0
"662",0
"663",0
"664",1
"665",0
"666",0
"667",-1
"668",1
"669",-1
"670",-1
"671",0
"672",0
"673",0
"674",0
"675",-1
"676",1
"677",-1
"678",0
"679",0
"680",0
"681",0
"682",1
"683",0
"684",0
"685",0
"686",0
"687",0
"688",-1
"689",-1
"690",1
"691",1
"692",1
"693",0
"694",-1
"695",0
"696",0
"697",0
"698",0
"699",0
"700",-1
"701",0
"702",0
"703",-1
"704",-1
"705",0
"706",1
"707",-1
"708",-1
"709",0
"710",0
"711",0
"712",0
"713",0
"714",-1
"715",-1
"716",-1
"717",-1
"718",0
"719",-1
"720",1
"721",0
"722",1
"723",1
"724",0
"725",0
"726",-1
"727",-1
"728",0
"729",0
"730",1
"731",0
"732",0
"733",0
"734",0
"735",0
"736",1
"737",1
"738",0
"739",0
"740",0
"741",1
"742",-1
"743",-1
"744",0
"745",-1
"746",-1
"747",0
"748",0
"749",-1
"750",1
"751",0
"752",1
"753",-1
"754",0
"755",0
"756",0
"757",1
"758",2
"759",-1
"760",0
"761",0
"762",0
"763",-1
"764",0
"765",0
"766",0
"767",-1
"768",0
"769",0
"770",0
"771",0
"772",-1
"773",-1
"774",1
"775",0
"776",0
"777",-2
"778",1
"779",-1
"780",0
"781",-1
"782",0
"783",1
"784",0
"785",0
"786",-2
"787",1
"788",-1
"789",1
"790",0
"791",0
"792",0
"793",-2
"794",0
"795",0
"796",0
"797",-2
"798",1
"799",0
"800",-1
"801",-1
"802",-2
"803",0
"804",1
"805",1
"806",1
"807",1
"808",0
"809",0
"810",2
"811",0
"812",-1
"813",2
"814",-1
"815",3
"816",-1
"817",0
"818",2
"819",-1
"820",1
"821",2
"822",-1
"823",-2
"824",-2
"825",0
"826",0
"827",-1
"828",1
"829",0
"830",-1
"831",-2
"832",0
"833",-2
"834",-2
"835",-1
"836",2
"837",1
"838",-1
"839",2
"840",0
"841",1
"842",2
"843",-1
"844",1
"845",1
"846",-2
"847",-2
"848",-1
"849",0
"850",0
"851",1
"852",0
"853",0
"854",1
"855",0
"856",1
"857",0
"858",-1
"859",0
"860",-3
"861",1
"862",1
"863",-2
"864",-1
"865",-3
"866",1
"867",-1
"868",0
"869",3
"870",1
"871",-2
"872",-2
"873",0
"874",-1
"875",2
"876",3
"877",1
"878",0
"879",0
"880",-2
"881",2
"882",1
"883",3
"884",1
"885",1
"886",3
"887",-1
"888",1
"889",0
"890",2
"891",0
"892",-3
"893",-1
"894",-1
"895",4
"896",0
"897",2
"898",1
"899",0
"900",-6
"901",3
"902",5
"903",-4
"904",-6
"905",4
"906",-2
"907",6
"908",0
"909",3
"910",1
"911",0
"912",-2
"913",3
"914",1
"915",1
"916",-1
"917",0
"918",2
"919",1
"920",-4
"921",2
"922",-1
"923",0
"924",1
"925",-2
"926",2
"927",0
"928",3
"929",-1
"930",1
"931",1
"932",1
"933",-1
"934",0
"935",0
"936",1
"937",0
"938",1
"939",-1
"940",1
"941",0
"942",2
"943",0
"944",-1
"945",0
"946",0
"947",-1
"948",-1
"949",0
"950",0
"951",-1
"952",0
"953",0
"954",0
"955",1
"956",-1
"957",1
"958",0
"959",1
"960",-1
"961",-1
"962",1
"963",2
"964",3
"965",-2
"966",0
"967",2
"968",0
"969",1
"970",1
"971",0
"972",0
"973",-1
"974",1
"975",-1
"976",1
"977",0
"978",1
"979",0
"980",0
"981",0
"982",1
"983",0
"984",1
"985",1
"986",-1
"987",0
"988",-1
"989",1
"990",0
"991",2
"992",1
"993",0
"994",-1
"995",1
"996",1
"997",0
"998",-1
"999",0
"1000",-2
"1001",0
"1002",0
"1003",2
"1004",0
"1005",0
"1006",0
"1007",0
"1008",1
"1009",0
"1010",-1
"1011",0
"1012",1
"1013",0
"1014",0
"1015",1
"1016",0
"1017",-1
"1018",-1
"1019",-1
"1020",0
"1021",0
"1022",0
"1023",1
"1024",-2
"1025",0
"1026",0
"1027",-7
"1028",-1
"1029",1
"1030",0
"1031",1
"1032",0
"1033",0
"1034",0
"1035",0
"1036",-2
"1037",0
"1038",1
"1039",-2
"1040",-1
"1041",1
"1042",0
"1043",1
"1044",1
"1045",-2
"1046",-1
"1047",1
"1048",-1
"1049",0
"1050",2
"1051",-1
"1052",1
"1053",-1
"1054",0
"1055",0
"1056",2
"1057",0
"1058",1
"1059",2
"1060",0
"1061",0
"1062",-1
"1063",0
"1064",4
"1065",0
"1066",1
"1067",-1
"1068",3
"1069",-1
"1070",1
"1071",-1
"1072",0
"1073",0
"1074",-1
"1075",-1
"1076",1
"1077",-2
"1078",2
"1079",2
"1080",1
"1081",1
"1082",1
"1083",1
"1084",2
"1085",-3
"1086",0
"1087",0
"1088",4
"1089",1
"1090",1
"1091",1
"1092",0
"1093",-1
"1094",0
"1095",-1
"1096",2
"1097",0
"1098",2
"1099",0
"1100",1
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",-1
"1108",-1
"1109",0
"1110",1
"1111",0
"1112",1
"1113",1
"1114",0
"1115",0
"1116",0
"1117",-1
"1118",0
"1119",-1
"1120",1
"1121",1
"1122",-1
"1123",-1
"1124",0
"1125",0
"1126",-1
"1127",-2
"1128",0
"1129",0
"1130",0
"1131",0
"1132",2
"1133",-2
"1134",1
"1135",1
"1136",4
"1137",0
"1138",0
"1139",-2
"1140",0
"1141",0
"1142",0
"1143",-1
"1144",0
"1145",0
"1146",0
"1147",0
"1148",-1
"1149",-2
"1150",1
"1151",-1
"1152",0
"1153",-1
"1154",1
"1155",-1
"1156",1
"1157",-1
"1158",0
"1159",-1
"1160",-1
"1161",0
"1162",0
"1163",0
"1164",-1
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",-1
"1172",-1
"1173",-1
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",1
"1182",0
"1183",-1
"1184",0
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",-1
"1193",0
"1194",0
"1195",0
"1196",2
"1197",1
"1198",0
"1199",-1
"1200",1
"1201",0
"1202",-1
"1203",-1
"1204",1
"1205",0
"1206",0
"1207",1
"1208",-1
"1209",0
"1210",0
"1211",1
"1212",-1
"1213",1
"1214",-1
"1215",4
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",0
"1230",0
"1231",1
"1232",0
"1233",-1
"1234",0
"1235",1
"1236",0
"1237",-1
"1238",0
"1239",0
"1240",0
"1241",0
"1242",1
"1243",0
"1244",0
"1245",0
"1246",-1
"1247",-1
"1248",0
"1249",0
"1250",-1
"1251",0
"1252",0
"1253",0
"1254",1
"1255",-1
"1256",0
"1257",0
"1258",0
"1259",-1
"1260",0
"1261",0
"1262",0
"1263",1
"1264",0
"1265",0
"1266",1
"1267",0
"1268",0
"1269",0
"1270",0
"1271",1
"1272",0
"1273",0
"1274",0
"1275",0
"1276",0
"1277",1
"1278",-1
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",1
"1287",0
"1288",0
"1289",-1
"1290",-1
"1291",0
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",-1
"1298",-1
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",1
"1305",0
"1306",1
"1307",0
"1308",0
"1309",-1
"1310",-1
"1311",1
"1312",0
"1313",1
"1314",0
"1315",2
"1316",0
"1317",0
"1318",-1
"1319",0
"1320",-1
"1321",0
"1322",-1
"1323",0
"1324",0
"1325",1
"1326",0
"1327",1
"1328",-1
"1329",1
"1330",1
"1331",2
"1332",-1
"1333",0
"1334",0
"1335",-1
"1336",1
"1337",-1
"1338",0
"1339",1
"1340",0
"1341",1
"1342",1
"1343",0
"1344",0
"1345",0
"1346",-1
"1347",0
"1348",0
"1349",0
"1350",-1
"1351",0
"1352",0
"1353",1
"1354",-1
"1355",0
"1356",0
"1357",1
"1358",1
"1359",-1
"1360",2
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",0
"1367",1
"1368",0
"1369",0
"1370",0
"1371",0
"1372",0
"1373",1
"1374",-1
"1375",2
"1376",0
"1377",1
"1378",-1
"1379",0
"1380",0
"1381",0
"1382",0
"1383",-1
"1384",-1
"1385",0
"1386",0
"1387",-1
"1388",1
"1389",0
"1390",0
"1391",0
"1392",1
"1393",0
"1394",0
"1395",1
"1396",0
"1397",-1
"1398",0
"1399",-1
"1400",0
"1401",-4
"1402",0
"1403",0
"1404",1
"1405",0
"1406",0
"1407",0
"1408",1
"1409",-1
"1410",-2
"1411",1
"1412",-1
"1413",0
"1414",0
"1415",0
"1416",0
"1417",0
"1418",0
"1419",0
"1420",0
"1421",0
"1422",1
"1423",1
"1424",-1
"1425",0
"1426",0
"1427",-1
"1428",-1
"1429",-1
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",-1
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",1
"1445",0
"1446",0
"1447",-1
"1448",0
"1449",0
"1450",0
"1451",1
"1452",0
"1453",-1
"1454",1
"1455",-2
"1456",1
"1457",1
"1458",0
"1459",-1
"1460",1
"1461",0
"1462",0
"1463",1
"1464",-1
"1465",2
"1466",-1
"1467",2
"1468",-1
"1469",1
"1470",0
"1471",1
"1472",0
"1473",1
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",-1
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",-1
"1486",0
"1487",0
"1488",0
"1489",0
"1490",0
"1491",-1
"1492",1
"1493",0
"1494",0
"1495",1
"1496",-2
"1497",0
"1498",1
"1499",-2
"1500",0
"1501",1
"1502",1
"1503",-1
"1504",0
"1505",0
"1506",-1
"1507",1
"1508",1
"1509",-1
"1510",1
"1511",0
"1512",1
"1513",2
"1514",1
"1515",-1
"1516",0
"1517",0
"1518",0
"1519",0
"1520",1
"1521",2
"1522",0
"1523",0
"1524",1
"1525",1
"1526",0
"1527",1
"1528",-4
"1529",0
"1530",0
"1531",0
"1532",1
"1533",0
"1534",1
"1535",-1
"1536",1
"1537",-1
"1538",0
"1539",-2
"1540",0
"1541",0
"1542",0
"1543",-1
"1544",-1
"1545",-1
"1546",0
"1547",-3
"1548",0
"1549",1
"1550",-1
"1551",0
"1552",1
"1553",0
"1554",-2
"1555",1
"1556",0
"1557",2
"1558",0
"1559",1
"1560",2
"1561",0
"1562",-2
"1563",1
"1564",3
"1565",-1
"1566",0
"1567",-1
"1568",0
"1569",0
"1570",0
"1571",-3
"1572",-1
"1573",1
"1574",0
"1575",2
"1576",1
"1577",0
"1578",2
"1579",0
"1580",1
"1581",1
"1582",-2
"1583",5
"1584",0
"1585",1
"1586",1
"1587",1
"1588",-1
"1589",-3
"1590",3
"1591",1
"1592",0
"1593",2
"1594",0
"1595",1
"1596",0
"1597",-1
"1598",0
"1599",-1
"1600",-1
"1601",0
"1602",-2
"1603",-1
"1604",1
"1605",0
"1606",1
"1607",0
"1608",0
"1609",0
"1610",-1
"1611",0
"1612",-1
"1613",-1
"1614",0
"1615",0
"1616",0
"1617",0
"1618",-1
"1619",0
"1620",0
"1621",1
"1622",0
"1623",-1
"1624",-1
"1625",2
"1626",1
"1627",0
"1628",-1
"1629",-1
"1630",-1
"1631",1
"1632",0
"1633",-1
"1634",0
"1635",0
"1636",0
"1637",-2
"1638",1
"1639",1
"1640",0
"1641",-1
"1642",-1
"1643",0
"1644",-1
"1645",-1
"1646",-1
"1647",0
"1648",-1
"1649",0
"1650",0
"1651",0
"1652",-5
"1653",-1
"1654",0
"1655",-1
"1656",0
"1657",0
"1658",1
"1659",1
"1660",0
"1661",0
"1662",0
"1663",0
"1664",1
"1665",-1
"1666",0
"1667",-1
"1668",1
"1669",0
"1670",1
"1671",-1
"1672",0
"1673",0
"1674",0
"1675",-1
"1676",0
"1677",-1
"1678",1
"1679",0
"1680",-1
"1681",-1
"1682",0
"1683",-1
"1684",1
"1685",0
"1686",0
"1687",0
"1688",0
"1689",-1
"1690",0
"1691",0
"1692",-1
"1693",0
"1694",1
"1695",0
"1696",-1
"1697",2
"1698",0
"1699",1
"1700",-1
"1701",0
"1702",1
"1703",0
"1704",0
"1705",1
"1706",0
"1707",0
"1708",-1
"1709",0
"1710",1
"1711",1
"1712",0
"1713",0
"1714",1
"1715",1
"1716",1
"1717",-1
"1718",0
"1719",0
"1720",0
"1721",1
"1722",-2
"1723",0
"1724",0
"1725",0
"1726",-1
"1727",1
"1728",-1
"1729",0
"1730",0
"1731",1
"1732",1
"1733",-1
"1734",-1
"1735",0
"1736",0
"1737",0
"1738",-2
"1739",1
"1740",-1
"1741",0
"1742",1
"1743",0
"1744",1
"1745",0
"1746",1
"1747",1
"1748",-2
"1749",1
"1750",0
"1751",-1
"1752",-2
"1753",-1
"1754",0
"1755",-1
"1756",1
"1757",-2
"1758",0
"1759",0
"1760",-1
"1761",-1
"1762",0
"1763",0
"1764",0
"1765",0
"1766",-1
"1767",1
"1768",0
"1769",0
"1770",0
"1771",-1
"1772",0
"1773",0
"1774",0
"1775",0
"1776",0
"1777",0
"1778",1
"1779",-5
"1780",0
"1781",-2
"1782",-1
"1783",1
"1784",1
"1785",0
"1786",0
"1787",0
"1788",0
"1789",-1
"1790",0
"1791",0
"1792",-2
"1793",0
"1794",-1
"1795",1
"1796",0
"1797",0
"1798",0
"1799",-1
"1800",1
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",1
"1807",1
"1808",0
"1809",1
"1810",1
"1811",0
"1812",0
"1813",0
"1814",0
"1815",1
"1816",-1
"1817",1
"1818",-1
"1819",2
"1820",1
"1821",0
"1822",0
"1823",-1
"1824",0
"1825",-3
"1826",1
"1827",1
"1828",2
"1829",-1
"1830",2
"1831",0
"1832",0
"1833",2
"1834",-5
"1835",0
"1836",-1
"1837",0
"1838",-2
"1839",1
"1840",2
"1841",1
"1842",0
"1843",3
"1844",-1
"1845",-1
"1846",0
"1847",0
"1848",0
"1849",0
"1850",-1
"1851",1
"1852",0
"1853",2
"1854",-1
"1855",0
"1856",-1
"1857",0
"1858",0
"1859",-1
"1860",0
"1861",-1
"1862",1
"1863",-1
"1864",-1
"1865",0
"1866",0
"1867",-2
"1868",0
"1869",0
"1870",-1
"1871",0
"1872",1
"1873",1
"1874",0
"1875",0
"1876",1
"1877",0
"1878",0
"1879",-1
"1880",0
"1881",-2
"1882",-1
"1883",1
"1884",0
"1885",0
"1886",2
"1887",1
"1888",1
"1889",-4
"1890",0
"1891",1
"1892",-1
"1893",3
"1894",2
"1895",2
"1896",0
"1897",-1
"1898",1
"1899",-3
"1900",-1
"1901",1
"1902",-2
"1903",-1
"1904",-7
"1905",1
"1906",1
"1907",-2
"1908",1
"1909",-1
"1910",1
"1911",-3
"1912",1
"1913",1
"1914",-1
"1915",0
"1916",-1
"1917",0
"1918",-1
"1919",0
"1920",-1
"1921",-2
"1922",-1
"1923",1
"1924",-1
"1925",-1
"1926",1
"1927",-1
"1928",-1
"1929",-1
"1930",-1
"1931",-1
"1932",0
"1933",-2
"1934",0
"1935",-1
"1936",0
"1937",0
"1938",-1
"1939",2
"1940",0
"1941",1
"1942",1
"1943",-1
"1944",0
"1945",3
"1946",0
"1947",-4
"1948",0
